LocationID,OwnerCSZ,ManagerCSZ,ZIp1,ZIp2,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS
'NH60,"NEW BOSTON, NH 03070","NEW BOSTON, NH 03070",03070,03070,42-57-38.3020N,154658.3020N,071-39-12.2600W,257952.2600W
'19NH,"MILFORD, NH 03055-3536","MILFORD, NH 03055-3536",03055-3536,03055-3536,42-58-41.5000N,154721.5000N,071-41-37.7000W,258097.7000W
'NH68,"NEW DURHAM, NH 03855","NEW DURHAM, NH 03855",03855,03855,43-28-47.8900N,156527.8900N,071-10-12.5600W,256212.5600W
'NH40,"NEW LONDON, NH 03257","NEW LONDON, NH 03257",03257,03257,43-24-16.7700N,156256.7700N,071-57-01.2980W,259021.2980W
'NH99,"LEBANON, NH 03756","LEBANON, NH 03756",03756,03756,43-25-12.2900N,156312.2900N,071-59-55.8900W,259195.8900W
'2B3,"NEWPORT, NH 03773","NEWPORT, NH 03773",03773,03773,43-23-13.8915N,156193.8915N,072-11-15.5195W,259875.5195W
'NH70,"HALES LOCATION, NH 03860","HALES LOCATION, NH 03860",03860,03860,44-02-35.1600N,158555.1600N,071-09-26.0000W,256166.0000W
'08NH,"NORTH CONWAY, NH 03860","NORTH CONWAY, NH 03860",03860,03860,44-03-44.9500N,158624.9500N,071-08-13.8200W,256093.8200W
'NH85,"NORTH CONWAY, NH 03860","NORTH CONWAY, NH 03860",03860,03860,44-02-00.2510N,158520.2510N,071-08-46.2540W,256126.2540W
'NH08,"NORTH STRATFORD, NH 03590","NORTH STRATFORD, NH 03590",03590,03590,44-41-35.8500N,160895.8500N,071-34-30.0300W,257670.0300W
'31NH,"NORTHWOOD, NH 03261","NORTHWOOD, NH 03261",03261,03261,43-13-24.9200N,155604.9200N,071-15-02.5920W,256502.5920W
'NH84,"NORTHWOOD, NH 03261","NORTHWOOD, NH 03261",03261,03261,43-12-27.3200N,155547.3200N,071-13-16.1600W,256396.1600W
'98NH,"MANCHESTER, NH 03109","MANCHESTER, NH 03109",03109,03109,43-12-40.4900N,155560.4900N,071-14-24.3300W,256464.3300W
'NH43,"W. NOTTINGHAM, NH 03291","W. NOTTINGHAM, NH 03291",03291,03291,43-10-46.2980N,155446.2980N,071-08-13.2270W,256093.2270W
'46NH,"ORFORD, NH 03777","ORFORD, NH 03777",03777,03777,43-51-36.1000N,157896.1000N,072-05-45.1900W,259545.1900W
'36NH,"PELHAM, NH 03076","PELHAM, NH 03076",03076,03076,42-42-03.0000N,153723.0000N,071-22-16.0000W,256936.0000W
'NH93,"PELHAM, NH 03076","PELHAM, NH 03076",03076,03076,42-45-46.3000N,153946.3000N,071-18-54.9800W,256734.9800W
'NH78,"PELHAM, NH 03076","PELHAM, NH 03076",03076,03076,42-44-49.8210N,153889.8210N,071-22-09.2280W,256929.2280W
'NH33,"PEMBROKE, NH 03275","PEMBROKE, NH 03275",03275,03275,43-11-45.2930N,155505.2930N,071-28-38.2520W,257318.2520W
'NH25,"PEMBROKE, NH 03275","PEMBROKE, NH 03275",03275,03275,43-07-56.1600N,155276.1600N,071-26-22.3300W,257182.3300W
'NH47,"PETERBOROUGH, NH 03458","PETERBOROUGH, NH 03458",03458,03458,42-53-33.0500N,154413.0500N,071-56-28.0200W,258988.0200W
